Id,Ranking,Title,Rating
0040897,147,The Treasure of the Sierra Madre (1948),8.2
0055630,148,Yôjinbô (1961),8.2
0477348,149,No Country for Old Men (2007),8.2
0266697,150,Kill Bill: Vol. 1 (2003),8.2
0071853,151,Monty Python and the Holy Grail (1975),8.2
0057115,152,The Great Escape (1963),8.2
0084787,153,The Thing (1982),8.2
0042876,154,Rashômon (1950),8.2
0266543,155,Finding Nemo (2003),8.2
0080678,156,The Elephant Man (1980),8.2
0071315,157,Chinatown (1974),8.2
0031381,158,Gone with the Wind (1939),8.2
0347149,159,Hauru no ugoku shiro (2004),8.2
0046912,160,Dial M for Murder (1954),8.2
0434409,161,V for Vendetta (2005),8.2
10872600,162,Spider-Man: No Way Home (2021),8.2
0081398,163,Raging Bull (1980),8.1
0120735,164,"Lock, Stock and Two Smoking Barrels (1998)",8.1
1305806,165,El Secreto de sus ojos (2009),8.2
2096673,166,Inside Out (2015),8.1
1392214,167,Prisoners (2013),8.1
5027774,168,"Three Billboards Outside Ebbing, Missouri (2017)",8.1
0050212,169,The Bridge on the River Kwai (1957),8.1
0117951,170,Trainspotting (1996),8.1
0116282,171,Fargo (1996),8.1
1291584,172,Warrior (2011),8.1
1205489,173,Gran Torino (2008),8.1
0264464,174,Catch Me If You Can (2002),8.1
0096283,175,Tonari no Totoro (1988),8.1
0405159,176,Million Dollar Baby (2004),8.1
4729430,177,Klaus (2019),8.2
1201607,178,Harry Potter and the Deathly Hallows: Part 2 (2011),8.1
0118849,179,Bacheha-Ye aseman (1997),8.2
0083658,180,Blade Runner (1982),8.1
2024544,181,12 Years a Slave (2013),8.1
0112471,182,Before Sunrise (1995),8.1
0015864,183,The Gold Rush (1925),8.1
2278388,184,The Grand Budapest Hotel (2014),8.1
0052618,185,Ben-Hur (1959),8.1
2267998,186,Gone Girl (2014),8.1
0072684,187,Barry Lyndon (1975),8.1
0047296,188,On the Waterfront (1954),8.1
2119532,189,Hacksaw Ridge (2016),8.1
0107207,190,In the Name of the Father (1993),8.1
0017925,191,The General (1926),8.1
0353969,192,Salinui chueok (2003),8.1
0077416,193,The Deer Hunter (1978),8.1
0050986,194,Smultronstället (1957),8.1
0046268,195,Le Salaire de la peur (1953),8.2
0041959,196,The Third Man (1949),8.1
3011894,197,Relatos salvajes (2014),8.1
0015324,198,Sherlock Jr. (1924),8.2
1392190,199,Mad Max: Fury Road (2015),8.1
0097165,200,Dead Poets Society (1989),8.1
0031679,201,Mr. Smith Goes to Washington (1939),8.1
0198781,202,"Monsters, Inc. (2001)",8.1
0892769,203,How to Train Your Dragon (2010),8.1
0073195,204,Jaws (1975),8.1
0978762,205,Mary and Max (2009),8.1
0050976,206,"Sjunde inseglet, Det (1957)",8.1
3170832,207,Room (2015),8.1
1950186,208,Ford v Ferrari (2019),8.1
0118715,209,The Big Lebowski (1998),8.1
0046438,210,Tôkyô monogatari (1953),8.1
0382932,211,Ratatouille (2007),8.1
0075148,212,Rocky (1976),8.1
0395169,213,Hotel Rwanda (2004),8.1
0019254,214,La Passion de Jeanne d'Arc (1928),8.1
3315342,215,Logan (2017),8.1
0091763,216,Platoon (1986),8.1
1895587,217,Spotlight (2015),8.1
0088247,218,The Terminator (1984),8.1
15097216,219,Jai Bhim (2021),8.8
0381681,220,Before Sunset (2004),8.1
1979320,221,Rush (2013),8.1
0074958,222,Network (1976),8.1
0092005,223,Stand by Me (1986),8.1
0036868,224,The Best Years of Our Lives (1946),8.1
0113247,225,La Haine (1995),8.1
0032138,226,The Wizard of Oz (1939),8.1
0758758,227,Into the Wild (2007),8.1
0070047,228,The Exorcist (1973),8.1
0325980,229,Pirates of the Caribbean: The Curse of the Black Pearl (2003),8.1
0317705,230,The Incredibles (2004),8.0
0035446,231,To Be or Not to Be (1942),8.2
1028532,232,Hachi: A Dog's Tale (2009),8.1
0107048,233,Groundhog Day (1993),8.0
0032551,234,The Grapes of Wrath (1940),8.1
4016934,235,Ah-ga-ssi (2016),8.1
0058946,236,La Battaglia di Algeri (1966),8.1
0476735,237,Babam Ve Oglum (2005),8.2
0245712,238,Amores perros (2000),8.1
0032976,239,Rebecca (1940),8.1
0061512,240,Cool Hand Luke (1967),8.1
0059742,241,The Sound of Music (1965),8.1
0048473,242,Pather Panchali (1955),8.2
0025316,243,It Happened One Night (1934),8.1
0129167,244,The Iron Giant (1999),8.1
1454029,245,The Help (2011),8.1
0053198,246,Les Quatre cents coups (1959),8.1
0060827,247,Persona (1966),8.1
0079470,248,Life of Brian (1979),8.0
0103639,249,Aladdin (1992),8.0
0099348,250,Dances with Wolves (1990),8.0
